Country,CO2
Afghanistan,0.0838
Albania,1.29
Algeria,3.18
Andorra,6.52
Angola,1.2
Antigua and Barbuda,5.59
Argentina,4.39
Armenia,1.74
Australia,19.2
Austria,8.96
Azerbaijan,3.49
Bahamas,5.33
Bahrain,25.9
Bangladesh,0.299
Barbados,4.89
Belarus,6.78
Belgium,11.3
Belize,1.59
Benin,0.511
Bhutan,0.56
Bolivia,1.27
Bosnia and Herzegovina,4.65
Botswana,2.26
Brazil,1.88
Brunei,22.2
Bulgaria,7.35
Burkina Faso,0.112
Burundi,0.0238
Cambodia,0.253
Cameroon,0.305
Canada,18.1
Cape Verde,1.07
Central African Republic,0.0603
Chad,0.079
Chile,4.28
China,5.1
Colombia,1.41
Comoros,0.16
"Congo, Dem. Rep.",0.029
"Congo, Rep.",0.31
Costa Rica,1.79
Cote d'Ivoire,0.341
Croatia,5.72
Cuba,2.29
Cyprus,8.01
Czech Republic,12.4
Denmark,10
Djibouti,0.574
Dominica,2.59
Dominican Republic,2.22
Ecuador,2.21
Egypt,2.38
El Salvador,1.12
Equatorial Guinea,9.57
Eritrea,0.187
Estonia,14.9
Eswatini,1.03
Ethiopia,0.0724
Fiji,1.37
Finland,12.6
France,6.56
Gabon,2.78
Gambia,0.215
Georgia,1.53
Germany,10.5
Ghana,0.419
Greece,10.3
Grenada,2.27
Guatemala,0.887
Guinea,0.207
Guinea-Bissau,0.164
Guyana,2.09
Haiti,0.249
Honduras,1.1
Hungary,5.85
Iceland,11.5
India,1.18
Indonesia,1.62
Iran,7.2
Iraq,2.2
Ireland,11
Israel,9.18
Italy,8.16
Jamaica,3.48
Japan,10.1
Jordan,3.43
Kazakhstan,13.6
Kenya,0.247
Kiribati,0.608
Kuwait,29.9
Kyrgyz Republic,1.26
Lao,0.308
Latvia,3.93
Lebanon,2.89
Lesotho,1.04
Liberia,0.181
Libya,8.26
Liechtenstein,5.71
Lithuania,4.84
Luxembourg,23.9
Madagascar,0.0918
Malawi,0.0727
Malaysia,6.85
Maldives,2.33
Mali,0.0951
Malta,6.58
Marshall Islands,2.22
Mauritania,0.512
Mauritius,2.99
Mexico,4.4
"Micronesia, Fed. Sts.",1.26
Moldova,1.21
Mongolia,4.66
Montenegro,3.32
Morocco,1.61
Mozambique,0.101
Myanmar,0.258
Namibia,1.18
Nauru,4.47
Nepal,0.0978
Netherlands,10.5
New Zealand,8.65
Nicaragua,0.815
Niger,0.0489
Nigeria,0.645
North Korea,2.63
North Macedonia,4.6
Norway,9.81
Oman,16.4
Pakistan,0.929
Palau,13.2
Palestine,0.619
Panama,2.09
Papua New Guinea,0.899
Paraguay,0.674
Peru,1.22
Philippines,0.792
Poland,8.76
Portugal,5.9
Qatar,51.7
Romania,5.09
Russia,11.2
Rwanda,0.0585
Samoa,0.947
Sao Tome and Principe,0.507
Saudi Arabia,15.4
Senegal,0.413
Serbia,6.56
Seychelles,7.12
Sierra Leone,0.0863
Singapore,4.35
Slovak Republic,7.6
Slovenia,8.59
Solomon Islands,0.365
Somalia,0.0549
South Africa,9.47
South Korea,10.1
South Sudan,0.142
Spain,8.09
Sri Lanka,0.613
St. Kitts and Nevis,4.53
St. Lucia,2.3
St. Vincent and the Grenadines,2.1
Sudan,0.399
Suriname,3.44
Sweden,5.76
Switzerland,5.76
Syria,3.31
Tajikistan,0.454
Tanzania,0.14
Thailand,3.49
Timor-Leste,0.177
Togo,0.256
Tonga,1.11
Trinidad and Tobago,34.7
Tunisia,2.3
Turkey,4.5
Turkmenistan,11.5
Tuvalu,1.08
Uganda,0.0956
Ukraine,7.26
United Arab Emirates,21.6
United Kingdom,9.1
United States,20.4
Uruguay,1.79
Uzbekistan,4.39
Vanuatu,0.451
Venezuela,5.92
Vietnam,1.18
Yemen,0.974
Zambia,0.149
Zimbabwe,0.803